Filename: /Users/nkrell/Box Sync/Kenya/rem-sense/S1A_IW_GRDH_1SDV_20170126T154808_20170126T154833_015004_018819_7091_Cal_TC.data/Sigma0_VV_TC_db												
ROI: mrc_ranch_house [Red] 195 points												
Basic Stats	       Min	     Max	     Mean	   Stdev								
     Band 1	-20.208261	6.025762	-8.866403	5.289712				ROI	Min	Max	Mean	Stdev
Histogram  	        DN	   Npts	  Total	 Percent	 Acc Pct			mrc_ranch_house	-20.208261	6.025762	-8.866403	5.289712
Band 1     	-20.208261	1	1	0.5128	0.5128			river_1	-20.187374	-6.694543	-12.227586	2.66464
Bin=0.10287	-20.105383	0	1	0	0.5128			river_2	-18.365091	-5.820825	-13.164463	2.851231
           	-20.002504	1	2	0.5128	1.0256							
           	-19.899626	0	2	0	1.0256							
           	-19.796747	0	2	0	1.0256							
           	-19.693869	0	2	0	1.0256							
           	-19.59099	0	2	0	1.0256							
           	-19.488112	0	2	0	1.0256							
           	-19.385233	0	2	0	1.0256							
           	-19.282355	0	2	0	1.0256							
           	-19.179476	0	2	0	1.0256							
           	-19.076598	0	2	0	1.0256							
           	-18.973719	0	2	0	1.0256							
           	-18.870841	0	2	0	1.0256							
           	-18.767962	0	2	0	1.0256							
           	-18.665084	0	2	0	1.0256							
           	-18.562205	0	2	0	1.0256							
           	-18.459327	0	2	0	1.0256							
           	-18.356448	1	3	0.5128	1.5385							
           	-18.25357	0	3	0	1.5385							
           	-18.150691	2	5	1.0256	2.5641							
           	-18.047813	0	5	0	2.5641							
           	-17.944934	0	5	0	2.5641							
           	-17.842055	0	5	0	2.5641							
           	-17.739177	0	5	0	2.5641							
           	-17.636298	2	7	1.0256	3.5897							
           	-17.53342	0	7	0	3.5897							
           	-17.430541	1	8	0.5128	4.1026							
           	-17.327663	0	8	0	4.1026							
           	-17.224784	0	8	0	4.1026							
           	-17.121906	0	8	0	4.1026							
           	-17.019027	1	9	0.5128	4.6154							
           	-16.916149	1	10	0.5128	5.1282							
           	-16.81327	1	11	0.5128	5.641							
           	-16.710392	1	12	0.5128	6.1538							
           	-16.607513	1	13	0.5128	6.6667							
           	-16.504635	2	15	1.0256	7.6923							
           	-16.401756	1	16	0.5128	8.2051							
           	-16.298878	1	17	0.5128	8.7179							
           	-16.195999	1	18	0.5128	9.2308							
           	-16.093121	1	19	0.5128	9.7436							
           	-15.990242	0	19	0	9.7436							
           	-15.887364	0	19	0	9.7436							
           	-15.784485	0	19	0	9.7436							
           	-15.681607	1	20	0.5128	10.2564							
           	-15.578728	1	21	0.5128	10.7692							
           	-15.475849	1	22	0.5128	11.2821							
           	-15.372971	0	22	0	11.2821							
           	-15.270092	0	22	0	11.2821							
           	-15.167214	0	22	0	11.2821							
           	-15.064335	2	24	1.0256	12.3077							
           	-14.961457	0	24	0	12.3077							
           	-14.858578	1	25	0.5128	12.8205							
           	-14.7557	0	25	0	12.8205							
           	-14.652821	0	25	0	12.8205							
           	-14.549943	3	28	1.5385	14.359							
           	-14.447064	1	29	0.5128	14.8718							
           	-14.344186	2	31	1.0256	15.8974							
           	-14.241307	1	32	0.5128	16.4103							
           	-14.138429	1	33	0.5128	16.9231							
           	-14.03555	2	35	1.0256	17.9487							
           	-13.932672	0	35	0	17.9487							
           	-13.829793	0	35	0	17.9487							
           	-13.726915	0	35	0	17.9487							
           	-13.624036	0	35	0	17.9487							
           	-13.521158	0	35	0	17.9487							
           	-13.418279	0	35	0	17.9487							
           	-13.315401	2	37	1.0256	18.9744							
           	-13.212522	1	38	0.5128	19.4872							
           	-13.109643	0	38	0	19.4872							
           	-13.006765	0	38	0	19.4872							
           	-12.903886	1	39	0.5128	20							
           	-12.801008	1	40	0.5128	20.5128							
           	-12.698129	1	41	0.5128	21.0256							
           	-12.595251	0	41	0	21.0256							
           	-12.492372	2	43	1.0256	22.0513							
           	-12.389494	1	44	0.5128	22.5641							
           	-12.286615	1	45	0.5128	23.0769							
           	-12.183737	1	46	0.5128	23.5897							
           	-12.080858	1	47	0.5128	24.1026							
           	-11.97798	1	48	0.5128	24.6154							
           	-11.875101	2	50	1.0256	25.641							
           	-11.772223	1	51	0.5128	26.1538							
           	-11.669344	3	54	1.5385	27.6923							
           	-11.566466	2	56	1.0256	28.7179							
           	-11.463587	3	59	1.5385	30.2564							
           	-11.360709	3	62	1.5385	31.7949							
           	-11.25783	0	62	0	31.7949							
           	-11.154952	1	63	0.5128	32.3077							
           	-11.052073	0	63	0	32.3077							
           	-10.949195	2	65	1.0256	33.3333							
           	-10.846316	4	69	2.0513	35.3846							
           	-10.743437	1	70	0.5128	35.8974							
           	-10.640559	2	72	1.0256	36.9231							
           	-10.53768	1	73	0.5128	37.4359							
           	-10.434802	3	76	1.5385	38.9744							
           	-10.331923	2	78	1.0256	40							
           	-10.229045	5	83	2.5641	42.5641							
           	-10.126166	0	83	0	42.5641							
           	-10.023288	1	84	0.5128	43.0769							
           	-9.920409	0	84	0	43.0769							
           	-9.817531	3	87	1.5385	44.6154							
           	-9.714652	4	91	2.0513	46.6667							
           	-9.611774	5	96	2.5641	49.2308							
           	-9.508895	3	99	1.5385	50.7692							
           	-9.406017	1	100	0.5128	51.2821							
           	-9.303138	3	103	1.5385	52.8205							
           	-9.20026	2	105	1.0256	53.8462							
           	-9.097381	2	107	1.0256	54.8718							
           	-8.994503	5	112	2.5641	57.4359							
           	-8.891624	1	113	0.5128	57.9487							
           	-8.788746	0	113	0	57.9487							
           	-8.685867	0	113	0	57.9487							
           	-8.582989	3	116	1.5385	59.4872							
           	-8.48011	3	119	1.5385	61.0256							
           	-8.377231	5	124	2.5641	63.5897							
           	-8.274353	0	124	0	63.5897							
           	-8.171474	1	125	0.5128	64.1026							
           	-8.068596	0	125	0	64.1026							
           	-7.965717	2	127	1.0256	65.1282							
           	-7.862839	2	129	1.0256	66.1538							
           	-7.75996	4	133	2.0513	68.2051							
           	-7.657082	2	135	1.0256	69.2308							
           	-7.554203	1	136	0.5128	69.7436							
           	-7.451325	3	139	1.5385	71.2821							
           	-7.348446	2	141	1.0256	72.3077							
           	-7.245568	1	142	0.5128	72.8205							
           	-7.142689	1	143	0.5128	73.3333							
           	-7.039811	0	143	0	73.3333							
           	-6.936932	0	143	0	73.3333							
           	-6.834054	0	143	0	73.3333							
           	-6.731175	0	143	0	73.3333							
           	-6.628297	2	145	1.0256	74.359							
           	-6.525418	1	146	0.5128	74.8718							
           	-6.42254	0	146	0	74.8718							
           	-6.319661	2	148	1.0256	75.8974							
           	-6.216783	1	149	0.5128	76.4103							
           	-6.113904	0	149	0	76.4103							
           	-6.011025	0	149	0	76.4103							
           	-5.908147	1	150	0.5128	76.9231							
           	-5.805268	0	150	0	76.9231							
           	-5.70239	1	151	0.5128	77.4359							
           	-5.599511	1	152	0.5128	77.9487							
           	-5.496633	2	154	1.0256	78.9744							
           	-5.393754	1	155	0.5128	79.4872							
           	-5.290876	0	155	0	79.4872							
           	-5.187997	2	157	1.0256	80.5128							
           	-5.085119	0	157	0	80.5128							
           	-4.98224	0	157	0	80.5128							
           	-4.879362	3	160	1.5385	82.0513							
           	-4.776483	1	161	0.5128	82.5641							
           	-4.673605	1	162	0.5128	83.0769							
           	-4.570726	0	162	0	83.0769							
           	-4.467848	0	162	0	83.0769							
           	-4.364969	2	164	1.0256	84.1026							
           	-4.262091	0	164	0	84.1026							
           	-4.159212	0	164	0	84.1026							
           	-4.056334	1	165	0.5128	84.6154							
           	-3.953455	0	165	0	84.6154							
           	-3.850577	1	166	0.5128	85.1282							
           	-3.747698	0	166	0	85.1282							
           	-3.644819	0	166	0	85.1282							
           	-3.541941	0	166	0	85.1282							
           	-3.439062	0	166	0	85.1282							
           	-3.336184	0	166	0	85.1282							
           	-3.233305	0	166	0	85.1282							
           	-3.130427	0	166	0	85.1282							
           	-3.027548	0	166	0	85.1282							
           	-2.92467	0	166	0	85.1282							
           	-2.821791	3	169	1.5385	86.6667							
           	-2.718913	0	169	0	86.6667							
           	-2.616034	0	169	0	86.6667							
           	-2.513156	1	170	0.5128	87.1795							
           	-2.410277	0	170	0	87.1795							
           	-2.307399	0	170	0	87.1795							
           	-2.20452	1	171	0.5128	87.6923							
           	-2.101642	0	171	0	87.6923							
           	-1.998763	0	171	0	87.6923							
           	-1.895885	0	171	0	87.6923							
           	-1.793006	0	171	0	87.6923							
           	-1.690128	1	172	0.5128	88.2051							
           	-1.587249	0	172	0	88.2051							
           	-1.48437	0	172	0	88.2051							
           	-1.381492	1	173	0.5128	88.7179							
           	-1.278613	0	173	0	88.7179							
           	-1.175735	0	173	0	88.7179							
           	-1.072856	1	174	0.5128	89.2308							
           	-0.969978	2	176	1.0256	90.2564							
           	-0.867099	0	176	0	90.2564							
           	-0.764221	3	179	1.5385	91.7949							
           	-0.661342	0	179	0	91.7949							
           	-0.558464	1	180	0.5128	92.3077							
           	-0.455585	0	180	0	92.3077							
           	-0.352707	0	180	0	92.3077							
           	-0.249828	1	181	0.5128	92.8205							
           	-0.14695	1	182	0.5128	93.3333							
           	-0.044071	0	182	0	93.3333							
           	0.058807	0	182	0	93.3333							
           	0.161686	0	182	0	93.3333							
           	0.264564	0	182	0	93.3333							
           	0.367443	0	182	0	93.3333							
           	0.470321	0	182	0	93.3333							
           	0.5732	0	182	0	93.3333							
           	0.676078	0	182	0	93.3333							
           	0.778957	0	182	0	93.3333							
           	0.881836	0	182	0	93.3333							
           	0.984714	0	182	0	93.3333							
           	1.087593	0	182	0	93.3333							
           	1.190471	0	182	0	93.3333							
           	1.29335	0	182	0	93.3333							
           	1.396228	1	183	0.5128	93.8462							
           	1.499107	0	183	0	93.8462							
           	1.601985	0	183	0	93.8462							
           	1.704864	0	183	0	93.8462							
           	1.807742	1	184	0.5128	94.359							
           	1.910621	1	185	0.5128	94.8718							
           	2.013499	0	185	0	94.8718							
           	2.116378	1	186	0.5128	95.3846							
           	2.219256	0	186	0	95.3846							
           	2.322135	1	187	0.5128	95.8974							
           	2.425013	0	187	0	95.8974							
           	2.527892	0	187	0	95.8974							
           	2.63077	0	187	0	95.8974							
           	2.733649	0	187	0	95.8974							
           	2.836527	2	189	1.0256	96.9231							
           	2.939406	1	190	0.5128	97.4359							
           	3.042284	0	190	0	97.4359							
           	3.145163	0	190	0	97.4359							
           	3.248042	0	190	0	97.4359							
           	3.35092	0	190	0	97.4359							
           	3.453799	0	190	0	97.4359							
           	3.556677	1	191	0.5128	97.9487							
           	3.659556	0	191	0	97.9487							
           	3.762434	0	191	0	97.9487							
           	3.865313	0	191	0	97.9487							
